# From https://repo.anaconda.com/archive/
# You may as well copy all including anaconda 1 & 2, those are discarded
# Run generate_versions.py to extract Windows, MacOSX, Linux versions of Anaconda3 .sh/.exe and sha256sums
Anaconda3-2025.06-1-Windows-x86_64.exe	914.6M	2025-07-18 13:52:27	36ba946abeb6bb7ba3235e0ccb67660e0b545235ca467f3aa964cd4b307c14ed
Anaconda3-2025.06-1-MacOSX-x86_64.sh	802.9M	2025-07-18 13:52:27	58139fe195337f3041259e3a611339ed3afa4d164cc9aa2a7e8e84c0673e3670
Anaconda3-2025.06-1-MacOSX-x86_64.pkg	800.3M	2025-07-18 13:52:27	f1a9a495e06e94d83c779f01701426364b62c2265f404b206f8433a6a7c8c34d
Anaconda3-2025.06-1-MacOSX-arm64.sh	783.9M	2025-07-18 13:52:27	f9366a024ac6f043dc224986c54f1b4e1226e6ccb6291d83bdadb489f159d847
Anaconda3-2025.06-1-MacOSX-arm64.pkg	781.3M	2025-07-18 13:52:27	4f81547918274bff6570d58ed773603dbd6f3fe01620c7c8c4e497cf29dad327
Anaconda3-2025.06-1-Linux-x86_64.sh	1.0G	2025-07-18 13:52:27	82976426a2c91fe1453281def386f9ebebd8fdb45dc6c970b54cfef4e9120857
Anaconda3-2025.06-1-Linux-aarch64.sh	886.6M	2025-07-18 13:52:27	98dfb82732991f3f4d385a265da5fd2190d65ec31ceafa0b93f3c5edf4431a5b
Anaconda3-2025.06-0-Windows-x86_64.exe	914.3M	2025-06-23 10:37:31	00ec02d3db9a9a890002f005f5200c6557a2e72860cc9aaf00525433be30ef21
Anaconda3-2025.06-0-MacOSX-x86_64.sh	778.3M	2025-06-23 10:37:31	8625a155ff1d2848afa360e70357e14c25f0ac7ac21e4e4bf15015bc58b08d06
Anaconda3-2025.06-0-MacOSX-x86_64.pkg	775.9M	2025-06-23 10:37:31	7ecc4ccc2d5c828965a5a742d59fa7ef128e100e5a93e8e98902934af1b436ec
Anaconda3-2025.06-0-MacOSX-arm64.sh	756.7M	2025-06-23 10:37:31	195f234204e2f18803cea38bbebefcaac5a3d8d95e2e4ee106d1b87b23b9fc4a
Anaconda3-2025.06-0-MacOSX-arm64.pkg	754.1M	2025-06-23 10:37:31	79b21d8e0927d3e4cad1ea00be0e6cbe6962535b74589bef794c3c6c797047cb
Anaconda3-2025.06-0-Linux-x86_64.sh	1.0G	2025-06-23 10:37:31	08db13f6db5dd4f99b3a6db96c68d064d50ea23742013b70f588e3a27a5204da
Anaconda3-2025.06-0-Linux-aarch64.sh	886.2M	2025-06-23 10:37:31	e6177f844f6156f07978c85b1f18ca3b7724d5ab5dba44b88a7f6b2452ba6271
Anaconda3-2024.10-1-Windows-x86_64.exe	950.5M	2024-10-23 09:03:59	c1cb433e23997c84ade4ff7241b61b2f9b10a616c230da34e641e9c96dada49d
